brand_name,model_name,motor_size,years,kms_driven,mileage,owner,power,price
Bajaj,Avenger,220.0,4,17000.0,35.0,1,19.0,63500
Royal-Enfield,Classic,350.0,5,50000.0,35.0,1,19.8,115000
Hyosung,GT250R,250.0,9,14795.0,30.0,1,28.0,300000
Bajaj,Dominar,400.0,4,28.0,28.0,1,34.5,100000
Jawa,Perak,330.0,1,2000.0,0.0,1,30.0,197500
KTM,Duke,200.0,9,24561.0,35.0,3,25.0,63400
Bajaj,Pulsar,180.0,5,19718.0,65.0,1,17.0,55000
TVS,Apache,200.0,1,40.0,40.0,1,20.21,120000
KTM,Duke,390.0,3,1350.0,25.0,1,42.9,198000
Yamaha,FZ16,150.0,7,58.0,58.0,1,13.0,40000
Royal-Enfield,Classic,350.0,3,25000.0,35.0,1,19.8,136900
Royal-Enfield,Himalayan,410.0,5,26240.0,32.0,1,24.5,112000
Royal-Enfield,Bullet,350.0,4,18866.0,40.0,1,19.8,110000
Honda,CB,125.0,3,65.0,65.0,1,10.0,50000
Royal-Enfield,Standard,350.0,2,30.0,30.0,1,18.0,131000
Bajaj,Pulsar,200.0,3,42.0,42.0,3,23.2,53000
Royal-Enfield,Classic,350.0,2,12634.0,35.0,1,19.8,160000
Royal-Enfield,Standard,350.0,6,37.0,37.0,1,19.8,121000
Royal-Enfield,Bullet,350.0,5,13000.0,37.0,1,19.8,111000
Royal-Enfield,Thunderbird,350.0,2,28000.0,40.0,1,19.8,131500
Honda,CB,150.0,5,60.0,60.0,1,14.0,52000
Royal-Enfield,Electra,350.0,3,23350.0,37.0,1,19.0,115000
Bajaj,Pulsar,150.0,7,65.0,65.0,1,14.85,47000
Bajaj,Avenger,220.0,5,9551.0,53.0,1,19.0,52000
Royal-Enfield,Bullet,350.0,3,23522.0,37.0,1,19.8,190000
Royal-Enfield,Thunderbird,350.0,6,25000.0,40.0,1,19.8,67000
Yamaha,SZ-RR,150.0,9,12000.0,55.0,1,12.0,28000
Yamaha,FZs,150.0,6,10168.0,45.0,1,13.0,44000
Royal-Enfield,Classic,350.0,3,7000.0,35.0,1,19.8,141500
Royal-Enfield,Classic,350.0,5,12000.0,35.0,1,19.8,110000
Bajaj,Pulsar,200.0,1,42.0,42.0,1,23.2,118000
Bajaj,Pulsar,220.0,5,26683.0,38.0,1,21.0,65000
Hero,Achiever,150.0,2,15000.0,45.0,1,13.0,48000
Yamaha,FZ,150.0,4,58.0,58.0,1,13.0,47475
Honda,CBR,250.0,10,30202.0,29.0,2,26.15,58000
Hero,Glamour,125.0,2,50000.0,55.0,1,8.9,63000
Bajaj,Pulsar,150.0,3,65.0,65.0,1,15.0,48000
Hero,Super,125.0,2,40000.0,75.0,1,9.0,60000
Royal-Enfield,Classic,350.0,6,20805.0,35.0,1,19.8,95000
Bajaj,Discover,110.0,2,45000.0,0.0,1,8.6,46000
Bajaj,Pulsar,220.0,5,28200.0,38.0,1,21.0,58000
Royal-Enfield,Classic,350.0,10,50000.0,35.0,1,19.8,70000
Bajaj,Avenger,220.0,5,14000.0,53.0,1,19.0,55000
Bajaj,Pulsar,220.0,6,55000.0,38.0,1,21.0,45000
Bajaj,Pulsar,180.0,3,30000.0,65.0,1,17.0,62000
Royal-Enfield,Bullet,350.0,3,1650.0,37.0,1,19.8,140000
Hero,Ignitor,125.0,7,45000.0,55.0,1,11.0,30000
Honda,CB,125.0,2,65.0,65.0,1,10.0,51000
Hero,Karizma,223.0,12,33000.0,40.0,1,17.0,18000
Royal-Enfield,Bullet,350.0,2,27300.0,0.0,1,19.8,130000
