brand_name,model_name,motor_size,model_year,kms_driven,mileage,owner,power,price
Bajaj,Avenger,220.0,2017,17000.0,35.0,1,19.0,63500
Royal-Enfield,Classic,350.0,2016,50000.0,35.0,1,19.8,115000
Hyosung,GT250R,250.0,2012,14795.0,30.0,1,28.0,300000
Bajaj,Dominar,400.0,2017,28.0,28.0,1,34.5,100000
Jawa,Perak,330.0,2020,2000.0,0.0,1,30.0,197500
KTM,Duke,200.0,2012,24561.0,35.0,3,25.0,63400
Bajaj,Pulsar,180.0,2016,19718.0,65.0,1,17.0,55000
TVS,Apache,200.0,2020,40.0,40.0,1,20.21,120000
KTM,Duke,390.0,2018,1350.0,25.0,1,42.9,198000
Yamaha,FZ16,150.0,2014,58.0,58.0,1,13.0,40000
Royal-Enfield,Classic,350.0,2018,25000.0,35.0,1,19.8,136900
Royal-Enfield,Himalayan,410.0,2016,26240.0,32.0,1,24.5,112000
Royal-Enfield,Bullet,350.0,2017,18866.0,40.0,1,19.8,110000
Honda,CB,125.0,2018,65.0,65.0,1,10.0,50000
Royal-Enfield,Standard,350.0,2019,30.0,30.0,1,18.0,131000
Bajaj,Pulsar,200.0,2018,42.0,42.0,3,23.2,53000
Royal-Enfield,Classic,350.0,2019,12634.0,35.0,1,19.8,160000
Royal-Enfield,Standard,350.0,2015,37.0,37.0,1,19.8,121000
Royal-Enfield,Bullet,350.0,2016,13000.0,37.0,1,19.8,111000
Royal-Enfield,Thunderbird,350.0,2019,28000.0,40.0,1,19.8,131500
Honda,CB,150.0,2016,60.0,60.0,1,14.0,52000
Royal-Enfield,Electra,350.0,2018,23350.0,37.0,1,19.0,115000
Bajaj,Pulsar,150.0,2014,65.0,65.0,1,14.85,47000
Bajaj,Avenger,220.0,2016,9551.0,53.0,1,19.0,52000
Royal-Enfield,Bullet,350.0,2018,23522.0,37.0,1,19.8,190000
Royal-Enfield,Thunderbird,350.0,2015,25000.0,40.0,1,19.8,67000
Yamaha,SZ-RR,150.0,2012,12000.0,55.0,1,12.0,28000
Yamaha,FZs,150.0,2015,10168.0,45.0,1,13.0,44000
Royal-Enfield,Classic,350.0,2018,7000.0,35.0,1,19.8,141500
Royal-Enfield,Classic,350.0,2016,12000.0,35.0,1,19.8,110000
Bajaj,Pulsar,200.0,2020,42.0,42.0,1,23.2,118000
Bajaj,Pulsar,220.0,2016,26683.0,38.0,1,21.0,65000
Hero,Achiever,150.0,2019,15000.0,45.0,1,13.0,48000
Yamaha,FZ,150.0,2017,58.0,58.0,1,13.0,47475
Honda,CBR,250.0,2011,30202.0,29.0,2,26.15,58000
Hero,Glamour,125.0,2019,50000.0,55.0,1,8.9,63000
Bajaj,Pulsar,150.0,2018,65.0,65.0,1,15.0,48000
Hero,Super,125.0,2019,40000.0,75.0,1,9.0,60000
Royal-Enfield,Classic,350.0,2015,20805.0,35.0,1,19.8,95000
Bajaj,Discover,110.0,2019,45000.0,0.0,1,8.6,46000
Bajaj,Pulsar,220.0,2016,28200.0,38.0,1,21.0,58000
Royal-Enfield,Classic,350.0,2011,50000.0,35.0,1,19.8,70000
Bajaj,Avenger,220.0,2016,14000.0,53.0,1,19.0,55000
Bajaj,Pulsar,220.0,2015,55000.0,38.0,1,21.0,45000
Bajaj,Pulsar,180.0,2018,30000.0,65.0,1,17.0,62000
Royal-Enfield,Bullet,350.0,2018,1650.0,37.0,1,19.8,140000
Hero,Ignitor,125.0,2014,45000.0,55.0,1,11.0,30000
Honda,CB,125.0,2019,65.0,65.0,1,10.0,51000
Hero,Karizma,223.0,2009,33000.0,40.0,1,17.0,18000
Royal-Enfield,Bullet,350.0,2019,27300.0,0.0,1,19.8,130000
KTM,RC,200.0,2021,5700.0,35.0,1,24.6,207500
Royal-Enfield,Himalayan,410.0,2019,15000.0,32.0,2,24.5,181562
Royal-Enfield,Thunderbird,500.0,2013,21000.0,25.0,1,27.2,110000
Royal-Enfield,Classic,350.0,2020,9000.0,35.0,1,19.1,207500
Suzuki,Gixxer,150.0,2015,35000.0,63.0,1,14.0,54468
Honda,CB,125.0,2018,65.0,65.0,1,10.0,70000
Bajaj,Pulsar,220.0,2017,20864.0,38.0,1,21.0,55000
Bajaj,Pulsar,150.0,2008,65.0,65.0,1,14.85,30087
Hero,Passion,110.0,2019,44228.0,55.0,1,8.0,57000
Bajaj,Dominar,400.0,2017,28.0,28.0,1,34.5,150000
